Nazwa,Kategoria_API,Ocena,Liczba_Opinii,Poziom_Cen_API,Szacowany_Koszt_PLN,Szacowany_Czas_MIN,Latitude,Longitude
Muzeum Motoryzacji Wena w Oławie,museum,4.9,9088,PRICE_LEVEL_UNSPECIFIED,30,120.0,51.09947551854408,17.057343135104542
Odrarium ZOO Wrocław,zoo,4.8,188,PRICE_LEVEL_UNSPECIFIED,30,180.0,51.091091679076946,17.052931188089378
Taras Widokowy Sky Tower,observation_deck,4.5,8315,PRICE_LEVEL_UNSPECIFIED,30,60.0,51.09721163545444,17.018959240877713
OP ENHEIM,art_gallery,4.8,64,PRICE_LEVEL_UNSPECIFIED,30,90.0,51.09194005717639,17.047328872774408
Pomnik Anonimowego Przechodnia we Wrocławiu,sculpture,4.8,2480,PRICE_LEVEL_UNSPECIFIED,30,60.0,51.0990189441244,17.045768414761064
Pomnik „Ku czci Zwierząt Rzeźnych”,sculpture,4.7,828,PRICE_LEVEL_UNSPECIFIED,30,60.0,51.113327377770574,17.03997881321635
Sky Tower,shopping_mall,4.3,42180,PRICE_LEVEL_UNSPECIFIED,30,60.0,51.1024932871588,17.0291730075981
Mini Park Linowy Zoolandia WROCŁAW,sports_activity_location,4.5,684,PRICE_LEVEL_UNSPECIFIED,30,60.0,51.10270723868467,17.044138471943192
Punkt widokowy na Mostku Pokutnic na Katedrze Św. Marii Magdaleny,scenic_spot,4.7,10799,PRICE_LEVEL_UNSPECIFIED,30,60.0,51.09628028123086,17.022962086943835
Bastion Sakwowy,historical_landmark,4.8,540,PRICE_LEVEL_UNSPECIFIED,30,60.0,51.098579112881964,17.03589061002676
Funzeum - Centrum Dziecięcej Wyobraźni | Gliwice,amusement_center,4.9,16335,PRICE_LEVEL_UNSPECIFIED,30,60.0,51.125366183508504,17.036648948253166
Muzeum Odry - Fundacja Otwartego Muzeum Techniki,museum,4.4,76,PRICE_LEVEL_UNSPECIFIED,30,120.0,51.113821415409866,17.056652637100843
